Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold,Config
14,0.2459242194890976,0.1172879798457382,0.1816060996674179,50,4,udacity,dr,50,dave2v1,0.0,
17,0.4357008635997772,0.30251904759073656,0.3691099555952569,100,6,udacity,dr,100,dave2v1,0.0,
25,0.4445458948612213,0.29108021397774714,0.3678130544194842,150,12,udacity,dr,150,dave2v1,0.0,
16,0.500298023223877,0.321414042987783,0.41085603310582997,200,2,udacity,dr,200,dave2v1,0.0,
14,0.2907975912094116,0.1949721577830266,0.2428848744962191,50,7,udacity,ces,50,dave2v1,0.0,
25,0.3135504424571991,0.23175528274262922,0.27265286259991417,100,10,udacity,ces,100,dave2v1,0.0,
34,0.36213260889053345,0.222388009186261,0.2922603090383972,150,15,udacity,ces,150,dave2v1,0.0,
31,0.370015025138855,0.2276071165521179,0.2988110708454864,200,8,udacity,ces,200,dave2v1,0.0,
13,0.22149644792079926,0.12066085683723643,0.17107865237901784,50,6,udacity,est,50,dave2v1,0.0,
27,0.3403283655643463,0.21607893223187646,0.2782036488981114,100,11,udacity,est,100,dave2v1,0.0,
27,0.34273529052734375,0.2354368455623666,0.28908606804485515,150,4,udacity,est,150,dave2v1,0.0,
43,0.37515583634376526,0.2994051776572961,0.3372805070005307,200,26,udacity,est,200,dave2v1,0.0,
12,0.2036943882703781,0.141592154349099,0.17264327130973856,50,10,udacity,rnd,50,dave2v1,0.0,
16,0.26671236753463745,0.20178144293908798,0.2342469052368627,100,7,udacity,rnd,100,dave2v1,0.0,
20,0.13876022398471832,0.16884982243809663,0.1538050232114075,150,5,udacity,rnd,150,dave2v1,0.0,
32,0.4422588646411896,0.30530240785877,0.3737806362499798,200,13,udacity,rnd,200,dave2v1,0.0,
13,0.3767252266407013,0.29528259973814974,0.3360039131894255,50,8,udacity,ent,50,dave2v1,0.0,
24,0.37166693806648254,0.26594894283159687,0.3188079404490397,100,15,udacity,ent,100,dave2v1,0.0,
22,0.5552994608879089,0.437000743947744,0.4961501024178265,150,6,udacity,ent,150,dave2v1,0.0,
29,0.5312263369560242,0.49154942347570724,0.5113878802158657,200,6,udacity,ent,200,dave2v1,0.0,
9,0.31924885511398315,,,50,1,udacity,gini,50,dave2v1,0.0,
16,0.389499306678772,0.2587940746540279,0.3241466906663999,100,4,udacity,gini,100,dave2v1,0.0,
24,0.4655252695083618,0.3106203565531379,0.38807281303074986,150,7,udacity,gini,150,dave2v1,0.0,
28,0.3287113606929779,0.23570427617819592,0.2822078184355869,200,7,udacity,gini,200,dave2v1,0.0,
11,0.227443128824234,0.2596841495403866,0.2435636391823103,50,5,udacity,gd,50,dave2v1,0.0,
25,0.3539450168609619,0.23967237064105584,0.2968086937510089,100,7,udacity,gd,100,dave2v1,0.0,
32,0.3641967475414276,0.2871420312362357,0.32566938938883166,150,10,udacity,gd,150,dave2v1,0.0,
27,0.35898280143737793,0.27989958566704864,0.3194411935522133,200,10,udacity,gd,200,dave2v1,0.0,
12,0.2940930426120758,0.22029090353139025,0.257191973071733,50,11,udacity,kmnc,50,dave2v1,0.0,
16,0.4698328375816345,0.29384711751664455,0.38183997754913956,100,6,udacity,kmnc,100,dave2v1,0.0,
25,0.4855467677116394,0.37172241737947015,0.4286345925455548,150,12,udacity,kmnc,150,dave2v1,0.0,
34,0.5016264915466309,0.41522663594049947,0.45842656374356516,200,13,udacity,kmnc,200,dave2v1,0.0,
12,0.3173557221889496,0.26606659134200966,0.29171115676547965,50,6,udacity,nac,50,dave2v1,0.0,
19,0.32603394985198975,0.3335603731598242,0.329797161505907,100,14,udacity,nac,100,dave2v1,0.0,
29,0.39768660068511963,0.3440813660937598,0.37088398338943973,150,15,udacity,nac,150,dave2v1,0.0,
25,0.5618804097175598,0.42849949512208085,0.49518995241982033,200,11,udacity,nac,200,dave2v1,0.0,
15,0.2005150467157364,0.40047648493248694,0.30049576582411164,50,9,udacity,lsa,50,dave2v1,0.0,
21,0.3261755704879761,0.19426615956129595,0.26022086502463604,100,9,udacity,lsa,100,dave2v1,0.0,
25,0.3556016683578491,0.2523746243946259,0.3039881463762375,150,17,udacity,lsa,150,dave2v1,0.0,
32,0.45501986145973206,0.23526512765854896,0.3451424945591405,200,2,udacity,lsa,200,dave2v1,0.0,
10,0.24768711626529694,0.17195297405552357,0.20982004516041025,50,3,udacity,std,50,dave2v1,0.0,
21,0.3158031404018402,0.21959219201524194,0.2676976662085411,100,13,udacity,std,100,dave2v1,0.0,
31,0.33960074186325073,0.2403674606245049,0.2899841012438778,150,15,udacity,std,150,dave2v1,0.0,
30,0.3341068923473358,0.2662603490848012,0.3001836207160685,200,5,udacity,std,200,dave2v1,0.0,
14,0.291285902261734,0.20817922090306362,0.24973256158239882,50,9,udacity,pace,50,dave2v1,0.0,
19,0.2041347622871399,0.1447338516286215,0.1744343069578807,100,6,udacity,pace,100,dave2v1,0.0,
31,0.32164984941482544,0.20924097054959215,0.2654454099822088,150,16,udacity,pace,150,dave2v1,0.0,
41,0.3819252848625183,0.288514267026953,0.3352197759447356,200,19,udacity,pace,200,dave2v1,0.0,
6,0.3557772934436798,0.23570851689041147,0.29574290516704566,36,2,udacity,dr,50,dave2v1,0.044,
11,0.3224848806858063,0.12805610276784446,0.22527049172682537,76,7,udacity,dr,100,dave2v1,0.044,
23,0.29146942496299744,0.21293164063085673,0.2522005327969271,109,19,udacity,dr,150,dave2v1,0.044,
16,0.4112837016582489,0.248164469473699,0.32972408556597393,148,4,udacity,dr,200,dave2v1,0.044,
13,0.29710957407951355,0.1357236668329453,0.21641662045622942,44,3,udacity,ces,50,dave2v1,0.044,
19,0.37409090995788574,0.16593496776426578,0.27001293886107575,89,4,udacity,ces,100,dave2v1,0.044,
16,0.2507411539554596,0.19462690290387435,0.22268402842966697,133,6,udacity,ces,150,dave2v1,0.044,
25,0.3017856180667877,0.2251736102987685,0.2634796141827781,171,10,udacity,ces,200,dave2v1,0.044,
13,0.21463602781295776,0.14256061058131755,0.17859831919713764,41,9,udacity,est,50,dave2v1,0.044,
19,0.3404318392276764,0.21224980973581897,0.2763408244817477,87,8,udacity,est,100,dave2v1,0.044,
31,0.4212179481983185,0.31708873852883934,0.3691533433635789,128,6,udacity,est,150,dave2v1,0.044,
40,0.4248476028442383,0.3113425114813482,0.3680950571627932,166,14,udacity,est,200,dave2v1,0.044,
10,0.22553879022598267,0.13801537812277012,0.18177708417437638,36,2,udacity,rnd,50,dave2v1,0.044,
13,0.2782841622829437,0.18994764771982525,0.2341159050013845,74,5,udacity,rnd,100,dave2v1,0.044,
22,0.2706342339515686,0.13441476862122909,0.20252450128639884,116,4,udacity,rnd,150,dave2v1,0.044,
31,0.4088975787162781,0.2755301449272297,0.3422138618217539,164,15,udacity,rnd,200,dave2v1,0.044,
11,0.07276338338851929,0.0010603654342960615,0.036911874411407676,44,19,udacity,ent,50,dave2v1,0.044,
18,0.4572294056415558,0.30500121166064587,0.3811153086511008,91,3,udacity,ent,100,dave2v1,0.044,
22,0.5796433091163635,0.5022822956006069,0.5409628023584852,139,6,udacity,ent,150,dave2v1,0.044,
39,0.4916151165962219,0.42178387737298184,0.4566994969846019,186,16,udacity,ent,200,dave2v1,0.044,
6,0.33977678418159485,0.2220843703423446,0.28093057726196974,19,2,udacity,gini,50,dave2v1,0.044,
11,0.296620637178421,0.2033372059814923,0.24997892157995666,41,7,udacity,gini,100,dave2v1,0.044,
18,0.42573365569114685,0.21917574769336576,0.3224547016922563,75,5,udacity,gini,150,dave2v1,0.044,
16,0.5471943020820618,0.39535032586540053,0.47127231397373115,113,0,udacity,gini,200,dave2v1,0.044,
9,0.18079747259616852,0.06388142722951017,0.12233944991283935,42,9,udacity,gd,50,dave2v1,0.044,
19,0.27645057439804077,0.15815510296779117,0.21730283868291597,85,10,udacity,gd,100,dave2v1,0.044,
12,-0.03991301730275154,0.1053556901290884,0.03272133641316843,125,3,udacity,gd,150,dave2v1,0.044,
23,0.3135319948196411,0.2331738865877392,0.27335294070369015,157,7,udacity,gd,200,dave2v1,0.044,
11,0.4162265360355377,0.22528330288114648,0.3207549194583421,48,2,udacity,kmnc,50,dave2v1,0.044,
19,0.44146960973739624,0.3562031612821954,0.39883638550979583,94,5,udacity,kmnc,100,dave2v1,0.044,
15,0.391912043094635,0.24742753380721647,0.31966978845092575,139,0,udacity,kmnc,150,dave2v1,0.044,
23,0.5473799109458923,0.4330277856832347,0.49020384831456354,182,2,udacity,kmnc,200,dave2v1,0.044,
9,0.3862820565700531,,,44,1,udacity,nac,50,dave2v1,0.044,
15,0.4986564517021179,0.3229489319489152,0.41080269182551654,88,2,udacity,nac,100,dave2v1,0.044,
